,id,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
129,5Mw9bXG1dLNhbjofkVS2oR,Oceans (Where Feet May Fail),Zion (Deluxe Edition),Hillsong UNITED,2013-02-26,535962,67,0.262,0.508,0.262,0.361,0.00268,0.108,-10.187,0.0333,126.786,4
130,0pv9Mg8pV2mT3gffu2QZkM,Aloha Ke Akua,Dark As Night,Nahko And Medicine For The People,2013-05-21,356625,43,0.488,0.0546,0.488,0.676,0.0,0.0986,-6.532,0.0989,122.891,4
131,25U7raB3ZSszayTYClh4hF,Somewhere Over The Rainbow_What A Wonderful World,Facing Future,Israel Kamakawiwo'ole,1993-11-01,308026,68,0.663,0.928,0.663,0.168,5.68e-05,0.361,-13.725,0.0448,85.005,4
132,24Pm25g7lQ0jOubNsXMcCf,Ya Got Trouble,The Music Man (Original Broadway Cast),Original Broadway Cast,1958-01-01,227666,35,0.677,0.475,0.677,0.419,0.0,0.473,-14.513,0.703,121.588,4
133,2XVos0r3E8DwB4bFUTO0B5,Shipoopi,The Music Man (Original Broadway Cast),Original Broadway Cast,1958-01-01,131626,29,0.634,0.339,0.634,0.495,0.0,0.299,-11.078,0.198,140.702,4
134,1Cj2vqUwlJVG27gJrun92y,The Sound of Silence,Immortalized,Disturbed,2015-08-21,248466,71,0.322,0.468,0.322,0.28,1.1e-06,0.102,-9.367,0.0281,85.794,4
135,04Dqz6T7vL4APHblHSdR4q,The Boxer,Babel (Deluxe Version),Mumford & Sons,2012-09-25,245400,45,0.467,0.649,0.467,0.37,4.42e-05,0.0949,-11.231,0.032,98.646,4
136,7Kho44itYaCQZvZQVV2SLW,Head Full Of Doubt/Road Full Of Promise,I And Love And You,The Avett Brothers,2009-01-01,287986,57,0.309,0.399,0.309,0.459,1.34e-05,0.12,-7.29,0.0347,175.809,3
137,5Xak5fmy089t0FYmh3VJiY,Black,Ten,Pearl Jam,1991-08-27,342653,72,0.36,0.323,0.36,0.684,0.0,0.34,-6.457,0.0308,77.15,4
138,6i81qFkru6Kj1IEsB7KNp2,Just Breathe,Backspacer,Pearl Jam,2009-09-19,215853,68,0.473,0.721,0.473,0.348,7.42e-05,0.0823,-11.1,0.0288,107.819,4
139,0W7AbEauB7cP4pidLclApe,Hunger Strike,Temple Of The Dog,Temple Of The Dog,1990-01-01,246266,59,0.373,0.0236,0.373,0.567,3.47e-06,0.0916,-10.835,0.032,137.789,4
140,0YwNdeDFbGP6AGwsQrtzdY,I Am A Man Of Constant Sorrow - Radio Edit,"O Brother, Where Art Thou? (Original Motion Picture Soundtrack)",Various Artists,2000-12-05,190000,60,0.564,0.666,0.564,0.328,0.0,0.0915,-13.096,0.0292,85.881,4
141,28cnXtME493VX9NOw9cIUh,Hurt,American IV: The Man Comes Around,Johnny Cash,2002-01-01,216533,74,0.534,0.649,0.534,0.392,0.000227,0.0948,-7.636,0.0267,90.379,4
142,5Tkrz3KSoAOGN4Y97TUqZU,Shit Towne,Throwing Copper,Live,1994-01-01,228066,38,0.267,0.000283,0.267,0.885,0.000333,0.0795,-5.778,0.0571,128.384,4
143,606WoZeEY2gs7wCne8VPUN,"El Tango De Roxanne - From ""Moulin Rouge"" Soundtrack",Moulin Rouge,Various Artists,2001-01-01,283933,47,0.322,0.524,0.322,0.473,0.0457,0.222,-7.644,0.0466,128.987,4
144,0HZhYMZOcUzZKSFwPOti6m,Jar of Hearts,lovestrong.,Christina Perri,2011-05-10,246587,72,0.349,0.726,0.349,0.348,0.0,0.12,-6.142,0.0316,74.541,4
145,4qN7nSAVTjPfOOz0wkRQpM,In Your Eyes - 2012 Remaster,So (2012 Remastered),Peter Gabriel,1986-05-19,330373,53,0.621,0.0632,0.621,0.645,9.63e-06,0.0703,-9.37,0.0352,89.284,4
146,6Vc5wAMmXdKIAM7WUoEb7N,Say Something,Is There Anybody Out There?,A Great Big World,2014-01-20,229400,75,0.407,0.857,0.407,0.147,2.89e-06,0.0913,-8.822,0.0355,141.284,3
147,4gvea7UlDkAvsJBPZAd4oB,The Boys Of Summer,Building The Perfect Beast,Don Henley,1984-01-01,288733,75,0.516,0.501,0.516,0.549,0.00572,0.184,-13.741,0.0373,176.941,4
148,2TjnCxxQRYn56Ye8gkUKiW,Desperado - 2013 Remaster,Desperado (2013 Remaster),Eagles,1973,213712,66,0.228,0.946,0.228,0.224,0.000222,0.273,-12.749,0.0311,60.3,4
149,04UWtAIMwi67MG8uHwYqgK,Joey,Bloodletting,Concrete Blonde,1990-09-16,248959,56,0.607,0.0151,0.607,0.788,0.0136,0.173,-5.326,0.0293,118.696,4
150,3ZE3wv8V3w2T2f7nOCjV0N,Life on Mars? - 2015 Remaster,Hunky Dory (2015 Remaster),David Bowie,1971-12-17,235986,70,0.442,0.639,0.442,0.384,7.7e-05,0.0539,-14.635,0.0414,123.281,4
151,6aBUnkXuCEQQHAlTokv9or,This Must Be the Place (Naive Melody) - 2005 Remaster,Speaking in Tongues (Deluxe Version),Talking Heads,1983-05-31,296146,70,0.942,0.331,0.942,0.641,0.179,0.028,-10.15,0.0333,114.443,4
152,4lJ6YVXQ0jUk5ILu0PSrA4,Ooh La La,Ooh La La,Faces,1973,214080,68,0.601,0.579,0.601,0.574,1.14e-05,0.216,-8.166,0.03,147.964,4
153,47W6YR93MPCGLEUReLMyDm,Virtual Insanity - Remastered,High Times: Singles 1992-2006 (Remastered),Jamiroquai,2006-11-06,229360,68,0.662,0.127,0.662,0.949,0.0,0.135,-4.758,0.108,91.954,4
154,0d28khcov6AiegSCpG5TuT,Feel Good Inc.,Demon Days,Gorillaz,2005-05-23,222640,80,0.818,0.00836,0.818,0.705,0.00233,0.613,-6.679,0.177,138.559,4
155,4G92yYrUs0cvY7G41YRI0z,Jealous,Jealous - EP,Labrinth,2014-11-23,287693,77,0.439,0.874,0.439,0.153,0.0,0.107,-8.95,0.0479,116.76,3
156,4WkLyrueqyBQRAifCV0Ind,Monophobia - Extended Mix,mau5ville: Level 1,deadmau5,2018-07-13,600000,38,0.664,0.0217,0.664,0.573,0.0283,0.107,-6.875,0.0473,128.003,4
157,3DofXqoNWqAnzNpSXtSp4R,Murdermile,No Wow,The Kills,2005-02-19,265306,25,0.76,0.369,0.76,0.847,0.139,0.0777,-5.589,0.0428,144.116,4
