,id,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
29,1TQ6a2NEA8LmKfgf0yeBvT,Everybody's Free (To Wear Sunscreen),Everybody's Free (To Wear Sunscreen),Baz Luhrmann,1999-01-01,309133,49,0.827,0.639,0.827,0.526,8.2e-06,0.391,-13.365,0.363,91.552,4
30,1CQlnoCRkNEXMcY9DRT3aj,Girls Poop Too,Ladies Don't Spit,Reformed Whores,2012-10-23,133973,4,0.715,0.547,0.715,0.802,0.0,0.11,-8.477,0.214,114.888,4
31,2stkLJ0JNcXkIRDNF3ld6c,"You've Got a Friend in Me - From ""Toy Story""/Soundtrack Version",Toy Story,Randy Newman,1995-01-01,124160,67,0.689,0.817,0.689,0.333,5.13e-06,0.285,-12.134,0.0307,115.835,4
32,7I3SLjvJn3W1McqpVqJ2z9,Puppet String,Similar Skin,Umphrey's McGee,2014-06-10,389610,32,0.603,0.0125,0.603,0.652,0.00226,0.0458,-8.758,0.0397,97.019,4
33,1Bx3trnFdCStyiV5PF0vkj,T.I.B.W.F.,The Budos Band,The Budos Band,2005-11-29,160600,50,0.674,0.0124,0.674,0.607,0.87,0.147,-7.76,0.057,77.845,4
34,1ncSAZD0bzvU3cu0uPLbWd,Midnight in Harlem,Revelator,Tedeschi Trucks Band,2011-06-03,352666,55,0.447,0.35,0.447,0.557,0.0145,0.11,-9.92,0.035,152.058,4
35,0KzAbK6nItSqNh8q70tb0K,Where Is My Mind?,Death to the Pixies,Pixies,1997-10-06,229226,60,0.513,0.00731,0.513,0.442,0.000838,0.0878,-13.529,0.0343,81.201,4
36,5e8v4ibmsMHxHLALe5KaiZ,Electric Pow Wow Drum,A Tribe Called Red,The Halluci Nation,2013-03-12,219853,49,0.658,0.023,0.658,0.573,0.0613,0.0981,-5.408,0.107,133.442,4
37,1ENTZa8h3wgslMIAmoG2Qs,"Me, On The Beach",Dream Sounds,Nagisa Ni Te,2005-03-01,405693,19,0.605,0.438,0.605,0.237,0.0185,0.0659,-14.005,0.0404,92.189,4
38,0cQGsXrwDeTZdEqmDz9JBA,A Ballet,Domesticated,Sébastien Tellier,2020-05-29,286353,43,0.542,0.08,0.542,0.329,0.0835,0.0971,-12.462,0.0359,115.077,4
39,7sd72KZS8D59g5NmhxyHpJ,Toast,Rapture EP,Koffee,2019-03-14,191502,68,0.906,0.0342,0.906,0.638,1.7e-05,0.0725,-7.917,0.256,99.959,4
40,4oIQ6fbchoURJlv6UJJVkk,Baby Got Back,Tuxicity,Richard Cheese,2002,167133,30,0.667,0.0814,0.667,0.522,0.000252,0.0772,-8.701,0.0314,134.898,4
41,3teiQhs87vzsiJlxL9r3c2,Smells Like Drill Spirt - remix,Smells Like Drill Spirt (remix),Afroludi,2021-01-12,130142,60,0.688,0.0298,0.688,0.484,0.000649,0.134,-8.094,0.0339,140.052,4
42,0RtQHhM9OSNCaKf7YnzPZn,The Spy Hunter,Songs To Burn Bridges By,Project 86,2004-01-01,217756,31,0.468,0.000214,0.468,0.96,0.287,0.227,-4.012,0.0857,90.956,4
43,5NdxiycRi3nP2v7RJoAJIT,Your Hand In Mine,The Earth Is Not a Cold Dead Place,Explosions In The Sky,2003-11-04,496573,53,0.279,0.103,0.279,0.472,0.874,0.063,-16.42,0.0295,115.13,3
44,19C0LKY3DCcQtuviPJNy5d,Jerry Was A Race Car Driver,Sailing The Seas Of Cheese,Primus,1991-01-01,190840,62,0.508,0.0099,0.508,0.887,0.392,0.345,-12.377,0.0661,122.655,4
45,2ZIfv0fO740IFZdTJTP1JA,Raise Your Weapon - Madeon Extended Remix,Raise Your Weapon (Remixes),deadmau5,2011-01-01,257079,36,0.704,0.0183,0.704,0.696,1.79e-05,0.0727,-5.23,0.0549,126.066,4
46,4qxUFzBKlmP98kIRKFszju,Lights - Bassnectar Remix - Bonus Track,Lights,Ellie Goulding,2011-01-01,276626,47,0.529,0.00489,0.529,0.804,0.69,0.779,-4.882,0.029,140.004,4
47,7sVvY1tEvk5VfitXX2PDOk,Turn Off The Light,"Whoa, Nelly!",Nelly Furtado,2000-01-01,276106,43,0.587,0.0839,0.587,0.679,0.000316,0.413,-6.26,0.0927,180.184,4
48,5GHb72Wb3FiB29SOD4ZfoO,Head Splitter,Allegiance,Getter,2015-06-16,214400,45,0.739,0.00599,0.739,0.876,0.446,0.274,-6.771,0.0504,149.994,4
49,3IlYkyctlcTqXAZOA4ZPzz,Love Me Dead,"You're Awful, I Love You",Ludo,2007-01-01,260533,52,0.598,0.00158,0.598,0.794,0.0,0.0794,-2.551,0.055,120.917,4
